Item,Description,Quantity,Minimum quantity,Ext. Price,Running total with tax,Supplier part,URL
CL21A475KAQNNNE,4.7 uF capacitor,1,20,0.25,0.2825,C1779,LCSC: C1779
CL21A106KAYNNNE,10 uF capacitor,1,20,0.22,0.5311,C15850,LCSC: C15850
CC0805KRX7R9BB104,100 nF capacitor,2,100,0.44,1.0283,C49678,LCSC: C49678
BC817,NPN transitor,2,20,0.4,1.4803,C466643,LCSC: C466643
2N7002K-T1-GE3,N channel MOSFET,1,10,0.36,1.8871,C81445,LCSC: C81445
0805W8F1002T5E,10kΩ resistor,3,100,0.18,2.0905,C17414,LCSC: C17414
GSPK2308P-8R0.5W,0.5W speaker,1,1,0.79,2.9832,C530532,LCSC: C530532
AMS1117-3.3,3.3v regulator,1,5,0.57,3.6273,C41414107,LCSC: C41414107
CH340C,Usb-Uart,1,1,0.54,4.2375,C84681,LCSC: C84681
ESP32-WROOM-32E-H4,Esp32,1,1,3.95,8.701,C3013935,LCSC: C3013935
MicroXNJ,Micro-usb,1,10,0.38,9.1304,C404969,LCSC: C404969
Sg90,Servo motor,3,1,4.05,13.7069,N/A,https://www.aliexpress.com/item/1005008472405526.html?spm=a2g0o.productlist.main.34.40c62Rkg2Rkgot&aem_p4p_detail=20251102063603793724532531000002185738&algo_pvid=61cd9f66-a4a7-48ad-a80a-2767d408fb9d&algo_exp_id=61cd9f66-a4a7-48ad-a80a-2767d408fb9d-31&pdp_ext_f=%7B%22order%22%3A%2221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.26%211.35%21%21%2111.24%216.74%21%402101f70717620941633348833eb29b%2112000045301544689%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae34405bd%3Bm03_new_user%3A-29895&curPageLogUid=lqikvEc6hv0u&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008472405526%7C_p_origin_prod%3A&search_p4p_id=20251102063603793724532531000002185738_9
Aliexpress shipping,N/A,1,1,6.59,21.1536,N/A,N/A
LCSC shipping,N/A,1,1,11.72,34.3972,N/A,N/A
LCSC handling fee,N/A,1,1,3,37.7872,N/A,N/A
PCB,N/A,1,5,2.8,40.9512,N/A,N/A
PCB shipping fee,N/A,1,1,2.1,43.3242,N/A,N/A
